DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4406439,13/10/2022 11:20:00,GOOD,0-4406439,43.07343,5.97528
0-4406439,13/10/2022 11:15:00,GOOD,0-4406439,43.07346,5.97536
0-4406439,13/10/2022 11:10:00,GOOD,0-4406439,43.07346,5.97549
0-4406439,13/10/2022 11:05:00,GOOD,0-4406439,43.07347,5.9756
0-4406439,13/10/2022 11:00:00,GOOD,0-4406439,43.07349,5.97575
0-4406439,13/10/2022 10:55:00,GOOD,0-4406439,43.07351,5.97588
0-4406439,13/10/2022 10:50:00,GOOD,0-4406439,43.07356,5.976
0-4406439,13/10/2022 10:45:00,GOOD,0-4406439,43.07362,5.97613
0-4406439,13/10/2022 10:40:00,GOOD,0-4406439,43.07347,5.97635
0-4406439,13/10/2022 10:35:00,GOOD,0-4406439,43.07346,5.97656
0-4406439,13/10/2022 10:30:00,GOOD,0-4406439,43.07352,5.97669
0-4406439,13/10/2022 10:25:00,GOOD,0-4406439,43.0736,5.97678
0-4406439,13/10/2022 10:20:00,GOOD,0-4406439,43.07367,5.97688
0-4406439,13/10/2022 10:15:00,GOOD,0-4406439,43.07376,5.97701
0-4406439,13/10/2022 10:10:00,GOOD,0-4406439,43.07404,5.97701
0-4406439,13/10/2022 10:05:00,GOOD,0-4406439,43.07402,5.97721
0-4406439,13/10/2022 10:00:00,GOOD,0-4406439,43.0742,5.9774
0-4406439,13/10/2022 9:55:00,GOOD,0-4406439,43.07429,5.97761
0-4406439,13/10/2022 9:50:00,GOOD,0-4406439,43.0744,5.97785
0-4406439,13/10/2022 9:45:00,GOOD,0-4406439,43.0745,5.97811
0-4406439,13/10/2022 9:40:00,GOOD,0-4406439,43.07463,5.97836
0-4406439,13/10/2022 9:35:00,GOOD,0-4406439,43.07479,5.9786
0-4406439,13/10/2022 9:30:00,GOOD,0-4406439,43.07494,5.97886
0-4406439,13/10/2022 9:25:00,GOOD,0-4406439,43.07511,5.97907
0-4406439,13/10/2022 9:20:00,GOOD,0-4406439,43.0753,5.97929
0-4406439,13/10/2022 9:15:00,GOOD,0-4406439,43.07547,5.9795
0-4406439,13/10/2022 9:10:00,GOOD,0-4406439,43.07565,5.97972
0-4406439,13/10/2022 9:05:00,GOOD,0-4406439,43.07582,5.97989
0-4406439,13/10/2022 9:00:00,GOOD,0-4406439,43.07576,5.98042
0-4406439,13/10/2022 8:55:00,GOOD,0-4406439,43.0759,5.98064
0-4406439,13/10/2022 8:50:00,GOOD,0-4406439,43.07604,5.98081
0-4406439,13/10/2022 8:45:00,GOOD,0-4406439,43.07617,5.98103
0-4406439,13/10/2022 8:40:00,GOOD,0-4406439,43.07632,5.98124
0-4406439,13/10/2022 8:35:00,GOOD,0-4406439,43.07645,5.9815
0-4406439,13/10/2022 8:30:00,GOOD,0-4406439,43.07659,5.98178
0-4406439,13/10/2022 8:25:00,GOOD,0-4406439,43.07677,5.98203
0-4406439,13/10/2022 8:20:00,GOOD,0-4406439,43.07692,5.98229
0-4406439,13/10/2022 8:10:00,GOOD,0-4406439,43.0772,5.98309
0-4406439,13/10/2022 8:05:00,GOOD,0-4406439,43.07742,5.9833
0-4406439,13/10/2022 8:00:00,GOOD,0-4406439,43.07784,5.98345
0-4406439,13/10/2022 7:55:00,GOOD,0-4406439,43.08032,5.99703
0-4406439,13/10/2022 7:50:00,GOOD,0-4406439,43.07986,6.00147
0-4406439,13/10/2022 7:40:00,GOOD,0-4406439,43.08228,5.96787
0-4406439,13/10/2022 7:35:00,GOOD,0-4406439,43.08492,5.94938
0-4406439,13/10/2022 7:30:00,GOOD,0-4406439,43.08815,5.93154
0-4406439,13/10/2022 7:25:00,GOOD,0-4406439,43.09308,5.91893
0-4406439,13/10/2022 7:20:00,GOOD,0-4406439,43.10381,5.91238
0-4406439,13/10/2022 7:15:00,GOOD,0-4406439,43.10667,5.89871
0-4406439,13/10/2022 7:10:00,GOOD,0-4406439,43.10443,5.88829
0-4407230,13/10/2022 12:30:00,LOW,0-4407230,43.08085,5.96959
0-4407230,13/10/2022 12:25:00,LOW,0-4407230,43.0825,5.97109
0-4407230,13/10/2022 12:20:00,LOW,0-4407230,43.0812,5.97611
0-4407230,13/10/2022 12:15:00,LOW,0-4407230,43.08103,5.97562
0-4407230,13/10/2022 12:10:00,LOW,0-4407230,43.08083,5.97512
0-4407230,13/10/2022 12:05:00,LOW,0-4407230,43.08058,5.97452
0-4407230,13/10/2022 12:00:00,LOW,0-4407230,43.08038,5.97403
